Base Price;;Name;Supplier;Image URL
40.05;;Algorytmy i struktury danych. Kurs video. Java, JavaScript, Python;Artur Kulesza;https://static01.helion.com.pl/global/okladki/145x218/valgor.png
89.55;;Microsoft SQL Server. Kurs video. Tworzenie zaawansowanych zapytań;Bartosz Szmit;https://static01.helion.com.pl/global/okladki/145x218/vsqlsz.png
98.45;;Data Science w Pythonie. Kurs video. Algorytmy uczenia maszynowego;Oleg Żero;https://static01.helion.com.pl/global/okladki/145x218/vdascp.png
99.60;;Power Query i Power Pivot. Kurs video. Poznaj narzędzia Excel BI;Marcin Paluszkiewicz;https://static01.helion.com.pl/global/okladki/145x218/vpoweq.png
26.55;;Frontend developer. Kurs video. HTML i CSS. Poziom podstawowy;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vpohtm.png
17.95;;Python dla dzieci i młodzieży. Kurs video. Jak uczyć się programowania - pierwsze kroki;Zofia Matusiewicz;https://static01.helion.com.pl/global/okladki/145x218/vpytsz.png
134.55;;Power BI Desktop. Kurs video. Wykorzystanie narzędzia w analizie i wizualizacji danych;Marcin Paluszkiewicz;https://static01.helion.com.pl/global/okladki/145x218/vpodpy.png
15.96;;Excel - tabele przestawne. Kurs video. Raporty i analiza danych;Adam Kopeć;https://static01.helion.com.pl/global/okladki/145x218/vex13t.png
53.55;;Kubernetes. Kurs video. Wdrażanie aplikacji;Michał Żyłowski;https://static01.helion.com.pl/global/okladki/145x218/vuruap.png
99.50;;Machine Learning i język Python. Kurs video. Praktyczne wykorzystanie popularnych bibliotek;Piotr Szajowski;https://static01.helion.com.pl/global/okladki/145x218/vprwyp.png
26.55;;Frontend developer. Kurs video. JavaScript. Poziom podstawowy;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vpodjs.png
40.05;;Frontend developer. Kurs video. JavaScript. Poziom średnio zaawansowany;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vfrdes.png
67.05;;Podstawy Pythona z Minecraftem. Kurs video. Piszemy pierwsze skrypty;Tomasz Kaniecki;https://static01.helion.com.pl/global/okladki/145x218/vpypmi.png
40.05;;Microsoft Windows Server 2019. Kurs video. Zostań administratorem sieci;Jacek Mielnik;https://static01.helion.com.pl/global/okladki/145x218/vwis19.png
26.55;;Git. Kurs video. Pracuj wygodnie z najpopularniejszym systemem kontroli wersji;Marcin Biegała;https://static01.helion.com.pl/global/okladki/145x218/vgitv.png
44.50;;Frontend developer. Kurs video. HTML i CSS. Poziom średnio zaawansowany;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vfrond.png
84.50;;Microsoft Azure. Kurs video. Zostań administratorem systemów IT;Piotr Tenyszyn;https://static01.helion.com.pl/global/okladki/145x218/vmsazu.png
395.00;;Cisco CCNA 200-301. Kurs video. Podstawy sieci komputerowych i konfiguracji. Część 1;Adam Józefiok;https://static01.helion.com.pl/global/okladki/145x218/vcccpo.png
29.50;;React. Pierwsze kroki. Kurs video. Tworzenie praktycznej aplikacji;Jakub Ciosłowski;https://static01.helion.com.pl/global/okladki/145x218/reactk.png
76.05;;Bash. Techniki zaawansowane. Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vbashz.png
39.90;;Node.js i TypeScript. Kurs video. Tworzenie skalowalnych mikroserwisów;Sebastian Domagała;https://static01.helion.com.pl/global/okladki/145x218/vnodej.png
34.50;;Linux. Kurs video. Wprowadzenie do pracy z konsolą;Piotr Chudzik;https://static01.helion.com.pl/global/okladki/145x218/vlinko.png
355.50;;Cisco CCNA 200-301. Kurs video. Administrowanie bezpieczeństwem sieci. Część 3;Adam Józefiok;https://static01.helion.com.pl/global/okladki/145x218/vcccab.png
395.00;;Cisco CCNA 200-301. Kurs video. Administrowanie urządzeniami Cisco. Część 2;Adam Józefiok;https://static01.helion.com.pl/global/okladki/145x218/vcccau.png
74.50;;Data Science w Pythonie. Kurs video. Przetwarzanie i analiza danych;Oleg Żero;https://static01.helion.com.pl/global/okladki/145x218/vpyton.png
26.55;;Język C#. Kurs video. Poziom pierwszy. Programowanie dla początkujących;Anna Kempa;https://static01.helion.com.pl/global/okladki/145x218/vjcku1.png
58.05;;SQL. Kurs video. Od zera do bohatera. Odczytywanie danych;Marcin Szeliga;https://static01.helion.com.pl/global/okladki/145x218/vsqloz.png
40.05;;MikroTik. Kurs video. Przygotowanie do egzaminu MTCNA;Jacek Mielnik;https://static01.helion.com.pl/global/okladki/145x218/vmikro.png
26.55;;Python 3. Kurs video. Praktyczne wprowadzenie do programowania;Adam Bobowski;https://static01.helion.com.pl/global/okladki/145x218/vpytod.png
67.05;;Testy E2E. Kurs video. Protractor, Cypress, Cucumber;Dawid Perdek;https://static01.helion.com.pl/global/okladki/145x218/vrodop.png
58.05;;Mikrotik. Kurs video. Przygotowanie do egzaminu MTCRE;Jacek Mielnik;https://static01.helion.com.pl/global/okladki/145x218/vmikti.png
31.05;;Poradnik hakera. Kurs video. Inżynieria odwrotna i modyfikacja programów komputerowych;Marcin Gomulak;https://static01.helion.com.pl/global/okladki/145x218/vpohak.png
34.50;;Python. Kurs video. Poziom pierwszy. Podstawy programowania i tworzenia aplikacji;Joanna Zatorska;https://static01.helion.com.pl/global/okladki/145x218/vpytho.png
112.05;;Twórz gry w Pythonie. Kurs video. Poznaj bibliotekę PyGame;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vpigry.png
49.50;;Python 3. Kurs video. Kompendium efektywnego Pythonisty;Bartosz Zaczyński;https://static01.helion.com.pl/global/okladki/145x218/vpytpz.png
