Base Price,Price Tax Included,Name,Supplier,Image URL,Url
40.05,1,"Algorytmy i struktury danych. Kurs video. Java, JavaScript, Python",Artur Kulesza,https://static01.helion.com.pl/global/okladki/145x218/valgor.png,"https://helion.pl/ksiazki/algorytmy-i-struktury-danych-kurs-video-java-javascript-python-artur-kulesza,valgor.htm#format/w"
89.55,1,Microsoft SQL Server. Kurs video. Tworzenie zaawansowanych zapytań,Bartosz Szmit,https://static01.helion.com.pl/global/okladki/145x218/vsqlsz.png,"https://helion.pl/ksiazki/microsoft-sql-server-kurs-video-tworzenie-zaawansowanych-zapytan-bartosz-szmit,vsqlsz.htm#format/w"
98.45,1,Data Science w Pythonie. Kurs video. Algorytmy uczenia maszynowego,Oleg Żero,https://static01.helion.com.pl/global/okladki/145x218/vdascp.png,"https://helion.pl/ksiazki/data-science-w-pythonie-kurs-video-algorytmy-uczenia-maszynowego-oleg-zero,vdascp.htm#format/w"
99.60,1,Power Query i Power Pivot. Kurs video. Poznaj narzędzia Excel BI,Marcin Paluszkiewicz,https://static01.helion.com.pl/global/okladki/145x218/vpoweq.png,"https://helion.pl/ksiazki/power-query-i-power-pivot-kurs-video-poznaj-narzedzia-excel-bi-marcin-paluszkiewicz,vpoweq.htm#format/w"
26.55,1,Frontend developer. Kurs video. HTML i CSS. Poziom podstawowy,Radosław Madecki,https://static01.helion.com.pl/global/okladki/145x218/vpohtm.png,"https://helion.pl/ksiazki/frontend-developer-kurs-video-html-i-css-poziom-podstawowy-radoslaw-madecki,vpohtm.htm#format/w"
17.95,1,Python dla dzieci i młodzieży. Kurs video. Jak uczyć się programowania - pierwsze kroki,Zofia Matusiewicz,https://static01.helion.com.pl/global/okladki/145x218/vpytsz.png,"https://helion.pl/ksiazki/python-dla-dzieci-i-mlodziezy-kurs-video-jak-uczyc-sie-programowania-pierwsze-kroki-zofia-matusiewicz,vpytsz.htm#format/w"
134.55,1,Power BI Desktop. Kurs video. Wykorzystanie narzędzia w analizie i wizualizacji danych,Marcin Paluszkiewicz,https://static01.helion.com.pl/global/okladki/145x218/vpodpy.png,"https://helion.pl/ksiazki/power-bi-desktop-kurs-video-wykorzystanie-narzedzia-w-analizie-i-wizualizacji-danych-marcin-paluszkiewicz,vpodpy.htm#format/w"
15.96,1,Excel - tabele przestawne. Kurs video. Raporty i analiza danych,Adam Kopeć,https://static01.helion.com.pl/global/okladki/145x218/vex13t.png,"https://helion.pl/ksiazki/excel-tabele-przestawne-kurs-video-raporty-i-analiza-danych-adam-kopec,vex13t.htm#format/w"
53.55,1,Kubernetes. Kurs video. Wdrażanie aplikacji,Michał Żyłowski,https://static01.helion.com.pl/global/okladki/145x218/vuruap.png,"https://helion.pl/ksiazki/kubernetes-kurs-video-wdrazanie-aplikacji-michal-zylowski,vuruap.htm#format/w"
99.50,1,Machine Learning i język Python. Kurs video. Praktyczne wykorzystanie popularnych bibliotek,Piotr Szajowski,https://static01.helion.com.pl/global/okladki/145x218/vprwyp.png,"https://helion.pl/ksiazki/machine-learning-i-jezyk-python-kurs-video-praktyczne-wykorzystanie-popularnych-bibliotek-piotr-szajowski,vprwyp.htm#format/w"
26.55,1,Frontend developer. Kurs video. JavaScript. Poziom podstawowy,Radosław Madecki,https://static01.helion.com.pl/global/okladki/145x218/vpodjs.png,"https://helion.pl/ksiazki/frontend-developer-kurs-video-javascript-poziom-podstawowy-radoslaw-madecki,vpodjs.htm#format/w"
